id,name,variable,value,variable_n,%
E04004529,Botley,Consumption of goods and services - Purchase of goods (t CO2e),8417.932,Purchase of goods (t CO2e),19.9783952486635
E04004529,Botley,Consumption of goods and services - Use of services (t CO2e),3771.483,Use of services (t CO2e),8.95091312778663
E04004529,Botley,Consumption of goods and services - Other consumption related emissions (t CO2e),3561.794,Other consumption related emissions (t CO2e),8.4532553038345
E04004529,Botley,Food and diet - Meat and fish (t CO2e),5369.249,Food and diet - Meat and fish (t CO2e),12.742913427014
E04004529,Botley,Food and diet - Other food and drink (t CO2e),4484.931,Food and diet - Other food and drink (t CO2e),10.6441492020824
E04004529,Botley,Housing - Mains gas (t CO2e),5340.019,Housing - Mains gas (t CO2e),12.6735414609399
E04004529,Botley,Housing - Electricity (t CO2e),2291.779,Housing - Electricity (t CO2e),5.43911101735994
E04004529,Botley,Housing - Oil (t CO2e),365.239,Housing - Oil (t CO2e),0.866826805232758
E04004529,Botley,Housing - LPG (t CO2e),109.959,Housing - LPG (t CO2e),0.260967226053595
E04004529,Botley,Housing - Biomass (t CO2e),17.585,Housing - Biomass (t CO2e),0.0417347253990348
E04004529,Botley,Housing - Coal (t CO2e),48.193,Housing - Coal (t CO2e),0.114377118064014
E04004529,Botley,Travel - Flights (t CO2e),3246.048,Travel - Flights (t CO2e),7.70389092477032
E04004529,Botley,Travel - Public transport (t CO2e),1113.401,Travel - Public transport (t CO2e),2.64245009917604
E04004529,Botley,Travel - Private transport (t CO2e),3881.161,Travel - Private transport (t CO2e),9.21121345262685
E04004529,Botley,Waste - Waste (t CO2e),116.403,Waste - Waste (t CO2e),0.276260860996522
