id,name,variable,value,variable_n,%
E04009890,Cocking,Consumption of goods and services - Purchase of goods (t CO2e),800.945,Purchase of goods (t CO2e),16.4258706565611
E04009890,Cocking,Consumption of goods and services - Use of services (t CO2e),329.383,Use of services (t CO2e),6.75502382119879
E04009890,Cocking,Consumption of goods and services - Other consumption related emissions (t CO2e),242.981,Other consumption related emissions (t CO2e),4.98308183208818
E04009890,Cocking,Food and diet - Meat and fish (t CO2e),462.607,Food and diet - Meat and fish (t CO2e),9.48719668244356
E04009890,Cocking,Food and diet - Other food and drink (t CO2e),418.164,Food and diet - Other food and drink (t CO2e),8.57575461140305
E04009890,Cocking,Housing - Mains gas (t CO2e),19.123,Housing - Mains gas (t CO2e),0.392176647042453
E04009890,Cocking,Housing - Electricity (t CO2e),336.849,Housing - Electricity (t CO2e),6.90813739369363
E04009890,Cocking,Housing - Oil (t CO2e),986.753,Housing - Oil (t CO2e),20.2364421376919
E04009890,Cocking,Housing - LPG (t CO2e),109.315,Housing - LPG (t CO2e),2.24184438484787
E04009890,Cocking,Housing - Biomass (t CO2e),12.956,Housing - Biomass (t CO2e),0.265703113480208
E04009890,Cocking,Housing - Coal (t CO2e),5.964,Housing - Coal (t CO2e),0.122310386600491
E04009890,Cocking,Travel - Flights (t CO2e),440.343,Travel - Flights (t CO2e),9.03060405211604
E04009890,Cocking,Travel - Public transport (t CO2e),134.344,Travel - Public transport (t CO2e),2.75514194793031
E04009890,Cocking,Travel - Private transport (t CO2e),538.901,Travel - Private transport (t CO2e),11.0518426642172
E04009890,Cocking,Waste - Waste (t CO2e),37.491,Waste - Waste (t CO2e),0.76886966868528
