id,name,variable,value,%
E04009407,Framlingham,Housing - Mains gas (t CO2e),3355.018,19.0941013215525
E04009407,Framlingham,Housing - Electricity (t CO2e),1686.412,9.59771947509132
E04009407,Framlingham,Housing - Oil (t CO2e),1389.721,7.90918963257104
E04009407,Framlingham,Housing - LPG (t CO2e),92.415,0.52595287823531
E04009407,Framlingham,Housing - Biomass (t CO2e),30.294,0.17240941939361
E04009407,Framlingham,Housing - Coal (t CO2e),62.741,0.357072007069865
E04009407,Framlingham,Industrial and commercial - Electricity (t CO2e),1250.633084,7.11761153650491
E04009407,Framlingham,Industrial and commercial - Mains gas (t CO2e),633.7532622,3.60682088778993
E04009407,Framlingham,Industrial and commercial - Other Fuels (t CO2e),67.96088594,0.386779457529238
E04009407,Framlingham,Industrial and commercial - Large industrial consumers (t CO2e),0.005524778,3.14426542304941e-05
E04009407,Framlingham,Power generation (t CO2e),0.140523055,0.00079974576893003
E04009407,Framlingham,Agriculture - Fuel (t CO2e),283.395935,1.61286487792498
E04009407,Framlingham,Agriculture - Livestock and crop-related emissions (t CO2e),1971.901526,11.222499412393
E04009407,Framlingham,Aviation (t CO2e),2206.846329,12.5596188774612
E04009407,Framlingham,Shipping (t CO2e),878.9667796,5.00238173028016
E04009407,Framlingham,Diesel fuelled railways (t CO2e),0,0
E04009407,Framlingham,F-gases (t CO2e),421.5044088,2.39886876586304
E04009407,Framlingham,Road Transport (t CO2e),2924.22467,16.6423673840091
E04009407,Framlingham,Other Transport (t CO2e),172.2555564,0.980341997301354
E04009407,Framlingham,Waste management (t CO2e),142.776247,0.812569150606346
E04009407,Framlingham,"Land use, land-use change, and forestry (t CO2e)",-1326.785565,
