id,name,variable,value,variable_n,%
E04009052,Longnor (Staffordshire Moorlands),Consumption of goods and services - Purchase of goods (t CO2e),554.665,Purchase of goods (t CO2e),16.5726880881255
E04009052,Longnor (Staffordshire Moorlands),Consumption of goods and services - Use of services (t CO2e),251.505,Use of services (t CO2e),7.51465103730001
E04009052,Longnor (Staffordshire Moorlands),Consumption of goods and services - Other consumption related emissions (t CO2e),204.555,Other consumption related emissions (t CO2e),6.11184446804201
E04009052,Longnor (Staffordshire Moorlands),Food and diet - Meat and fish (t CO2e),363.038,Food and diet - Meat and fish (t CO2e),10.8471158954268
E04009052,Longnor (Staffordshire Moorlands),Food and diet - Other food and drink (t CO2e),293.664,Food and diet - Other food and drink (t CO2e),8.77430859115195
E04009052,Longnor (Staffordshire Moorlands),Housing - Mains gas (t CO2e),0,Housing - Mains gas (t CO2e),0
E04009052,Longnor (Staffordshire Moorlands),Housing - Electricity (t CO2e),204.262,Housing - Electricity (t CO2e),6.10308999893034
E04009052,Longnor (Staffordshire Moorlands),Housing - Oil (t CO2e),403.609,Housing - Oil (t CO2e),12.0593260194176
E04009052,Longnor (Staffordshire Moorlands),Housing - LPG (t CO2e),86.624,Housing - LPG (t CO2e),2.58821546869874
E04009052,Longnor (Staffordshire Moorlands),Housing - Biomass (t CO2e),7.162,Housing - Biomass (t CO2e),0.213991494121957
E04009052,Longnor (Staffordshire Moorlands),Housing - Coal (t CO2e),115.416,Housing - Coal (t CO2e),3.44848398290697
E04009052,Longnor (Staffordshire Moorlands),Travel - Flights (t CO2e),319.182,Travel - Flights (t CO2e),9.53675412968924
E04009052,Longnor (Staffordshire Moorlands),Travel - Public transport (t CO2e),112.135,Travel - Public transport (t CO2e),3.35045185609685
E04009052,Longnor (Staffordshire Moorlands),Travel - Private transport (t CO2e),425.767,Travel - Private transport (t CO2e),12.7213790111454
E04009052,Longnor (Staffordshire Moorlands),Waste - Waste (t CO2e),5.278,Waste - Waste (t CO2e),0.157699958946619
