id,name,variable,value,variable_n,%
E04004675,Micheldever,Consumption of goods and services - Purchase of goods (t CO2e),2447.543,Purchase of goods (t CO2e),16.020557008126
E04004675,Micheldever,Consumption of goods and services - Use of services (t CO2e),996.257,Use of services (t CO2e),6.52106707144454
E04004675,Micheldever,Consumption of goods and services - Other consumption related emissions (t CO2e),884.246,Other consumption related emissions (t CO2e),5.78789155173469
E04004675,Micheldever,Food and diet - Meat and fish (t CO2e),1399.17,Food and diet - Meat and fish (t CO2e),9.15836116017559
E04004675,Micheldever,Food and diet - Other food and drink (t CO2e),1268.199,Food and diet - Other food and drink (t CO2e),8.30108168769594
E04004675,Micheldever,Housing - Mains gas (t CO2e),23.252,Housing - Mains gas (t CO2e),0.152197526888372
E04004675,Micheldever,Housing - Electricity (t CO2e),840.899,Housing - Electricity (t CO2e),5.50416085338486
E04004675,Micheldever,Housing - Oil (t CO2e),3427.974,Housing - Oil (t CO2e),22.4380339341837
E04004675,Micheldever,Housing - LPG (t CO2e),310.338,Housing - LPG (t CO2e),2.03133821174451
E04004675,Micheldever,Housing - Biomass (t CO2e),27.973,Housing - Biomass (t CO2e),0.183099149305368
E04004675,Micheldever,Housing - Coal (t CO2e),70.704,Housing - Coal (t CO2e),0.462797778303605
E04004675,Micheldever,Travel - Flights (t CO2e),1416.858,Travel - Flights (t CO2e),9.27413915155704
E04004675,Micheldever,Travel - Public transport (t CO2e),404.92,Travel - Public transport (t CO2e),2.65043104195938
E04004675,Micheldever,Travel - Private transport (t CO2e),1729.97,Travel - Private transport (t CO2e),11.323634766518
E04004675,Micheldever,Waste - Waste (t CO2e),29.212,Waste - Waste (t CO2e),0.191209106978458
