id,name,variable,value,variable_n
E04004529,Botley,Consumption of goods and services - Purchase of goods (t CO2e),8417.932,Purchase of goods (t CO2e)
E04004529,Botley,Consumption of goods and services - Use of services (t CO2e),3771.483,Use of services (t CO2e)
E04004529,Botley,Consumption of goods and services - Other consumption related emissions (t CO2e),3561.794,Other consumption related emissions (t CO2e)
E04004529,Botley,Food and diet - Meat and fish (t CO2e),5369.249,Food and diet - Meat and fish (t CO2e)
E04004529,Botley,Food and diet - Other food and drink (t CO2e),4484.931,Food and diet - Other food and drink (t CO2e)
E04004529,Botley,Housing - Mains gas (t CO2e),5340.019,Housing - Mains gas (t CO2e)
E04004529,Botley,Housing - Electricity (t CO2e),2291.779,Housing - Electricity (t CO2e)
E04004529,Botley,Housing - Oil (t CO2e),365.239,Housing - Oil (t CO2e)
E04004529,Botley,Housing - LPG (t CO2e),109.959,Housing - LPG (t CO2e)
E04004529,Botley,Housing - Biomass (t CO2e),17.585,Housing - Biomass (t CO2e)
E04004529,Botley,Housing - Coal (t CO2e),48.193,Housing - Coal (t CO2e)
E04004529,Botley,Travel - Flights (t CO2e),3246.048,Travel - Flights (t CO2e)
E04004529,Botley,Travel - Public transport (t CO2e),1113.401,Travel - Public transport (t CO2e)
E04004529,Botley,Travel - Private transport (t CO2e),3881.161,Travel - Private transport (t CO2e)
E04004529,Botley,Waste - Waste (t CO2e),116.403,Waste - Waste (t CO2e)
