id,name,variable,value
E04004497,Clanfield (East Hampshire),Housing - Mains gas (t CO2e),5787.464
E04004497,Clanfield (East Hampshire),Housing - Electricity (t CO2e),2505.048
E04004497,Clanfield (East Hampshire),Housing - Oil (t CO2e),210.009
E04004497,Clanfield (East Hampshire),Housing - LPG (t CO2e),69.531
E04004497,Clanfield (East Hampshire),Housing - Biomass (t CO2e),21.36
E04004497,Clanfield (East Hampshire),Housing - Coal (t CO2e),3.309
E04004497,Clanfield (East Hampshire),Industrial and commercial - Electricity (t CO2e),494.0674863
E04004497,Clanfield (East Hampshire),Industrial and commercial - Mains gas (t CO2e),248.7538871
E04004497,Clanfield (East Hampshire),Industrial and commercial - Other Fuels (t CO2e),845.8786418
E04004497,Clanfield (East Hampshire),Industrial and commercial - Large industrial consumers (t CO2e),0
E04004497,Clanfield (East Hampshire),Power generation (t CO2e),0.237106004
E04004497,Clanfield (East Hampshire),Agriculture - Fuel (t CO2e),378.3805155
E04004497,Clanfield (East Hampshire),Agriculture - Livestock and crop-related emissions (t CO2e),1126.614075
E04004497,Clanfield (East Hampshire),Aviation (t CO2e),3303.607772
E04004497,Clanfield (East Hampshire),Shipping (t CO2e),1315.796867
E04004497,Clanfield (East Hampshire),Diesel fuelled railways (t CO2e),14.81976115
E04004497,Clanfield (East Hampshire),F-gases (t CO2e),166.5169636
E04004497,Clanfield (East Hampshire),Road Transport (t CO2e),16802.70409
E04004497,Clanfield (East Hampshire),Other Transport (t CO2e),71.81669549
E04004497,Clanfield (East Hampshire),Waste management (t CO2e),2174.20922
E04004497,Clanfield (East Hampshire),"Land use, land-use change, and forestry (t CO2e)",-1360.90437
