id,name,variable,value
E04009890,Cocking,Housing - Mains gas (t CO2e),19.123
E04009890,Cocking,Housing - Electricity (t CO2e),336.849
E04009890,Cocking,Housing - Oil (t CO2e),986.753
E04009890,Cocking,Housing - LPG (t CO2e),109.315
E04009890,Cocking,Housing - Biomass (t CO2e),12.956
E04009890,Cocking,Housing - Coal (t CO2e),5.964
E04009890,Cocking,Industrial and commercial - Electricity (t CO2e),1089.258364
E04009890,Cocking,Industrial and commercial - Mains gas (t CO2e),1328.013341
E04009890,Cocking,Industrial and commercial - Other Fuels (t CO2e),1305.625799
E04009890,Cocking,Industrial and commercial - Large industrial consumers (t CO2e),4.713943474
E04009890,Cocking,Power generation (t CO2e),0.450786447
E04009890,Cocking,Agriculture - Fuel (t CO2e),200.2468145
E04009890,Cocking,Agriculture - Livestock and crop-related emissions (t CO2e),784.5510281
E04009890,Cocking,Aviation (t CO2e),264.0463774
E04009890,Cocking,Shipping (t CO2e),105.1672656
E04009890,Cocking,Diesel fuelled railways (t CO2e),0
E04009890,Cocking,F-gases (t CO2e),367.1158301
E04009890,Cocking,Road Transport (t CO2e),2694.001374
E04009890,Cocking,Other Transport (t CO2e),21.25092658
E04009890,Cocking,Waste management (t CO2e),795.1322018
E04009890,Cocking,"Land use, land-use change, and forestry (t CO2e)",-1577.365933
