id,name,variable,value,variable_n
E04009052,Longnor (Staffordshire Moorlands),Consumption of goods and services - Purchase of goods (t CO2e),554.665,Purchase of goods (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Consumption of goods and services - Use of services (t CO2e),251.505,Use of services (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Consumption of goods and services - Other consumption related emissions (t CO2e),204.555,Other consumption related emissions (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Food and diet - Meat and fish (t CO2e),363.038,Food and diet - Meat and fish (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Food and diet - Other food and drink (t CO2e),293.664,Food and diet - Other food and drink (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Housing - Mains gas (t CO2e),0,Housing - Mains gas (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Housing - Electricity (t CO2e),204.262,Housing - Electricity (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Housing - Oil (t CO2e),403.609,Housing - Oil (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Housing - LPG (t CO2e),86.624,Housing - LPG (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Housing - Biomass (t CO2e),7.162,Housing - Biomass (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Housing - Coal (t CO2e),115.416,Housing - Coal (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Travel - Flights (t CO2e),319.182,Travel - Flights (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Travel - Public transport (t CO2e),112.135,Travel - Public transport (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Travel - Private transport (t CO2e),425.767,Travel - Private transport (t CO2e)
E04009052,Longnor (Staffordshire Moorlands),Waste - Waste (t CO2e),5.278,Waste - Waste (t CO2e)
