id,name,variable,value
E04004675,Micheldever,Housing - Mains gas (t CO2e),23.252
E04004675,Micheldever,Housing - Electricity (t CO2e),840.899
E04004675,Micheldever,Housing - Oil (t CO2e),3427.974
E04004675,Micheldever,Housing - LPG (t CO2e),310.338
E04004675,Micheldever,Housing - Biomass (t CO2e),27.973
E04004675,Micheldever,Housing - Coal (t CO2e),70.704
E04004675,Micheldever,Industrial and commercial - Electricity (t CO2e),992.9595204
E04004675,Micheldever,Industrial and commercial - Mains gas (t CO2e),521.9043297
E04004675,Micheldever,Industrial and commercial - Other Fuels (t CO2e),732.4647347
E04004675,Micheldever,Industrial and commercial - Large industrial consumers (t CO2e),0
E04004675,Micheldever,Power generation (t CO2e),1.052417526
E04004675,Micheldever,Agriculture - Fuel (t CO2e),915.4822721
E04004675,Micheldever,Agriculture - Livestock and crop-related emissions (t CO2e),2964.358913
E04004675,Micheldever,Aviation (t CO2e),933.2464853
E04004675,Micheldever,Shipping (t CO2e),371.7035695
E04004675,Micheldever,Diesel fuelled railways (t CO2e),394.968308
E04004675,Micheldever,F-gases (t CO2e),334.6599582
E04004675,Micheldever,Road Transport (t CO2e),52779.87681
E04004675,Micheldever,Other Transport (t CO2e),168.2492094
E04004675,Micheldever,Waste management (t CO2e),459.9272222
E04004675,Micheldever,"Land use, land-use change, and forestry (t CO2e)",-3155.902564
