id,name,variable,value
E04004468,Oakley (Basingstoke and Deane),Housing - Mains gas (t CO2e),6082.701
E04004468,Oakley (Basingstoke and Deane),Housing - Electricity (t CO2e),2406.075
E04004468,Oakley (Basingstoke and Deane),Housing - Oil (t CO2e),718.042
E04004468,Oakley (Basingstoke and Deane),Housing - LPG (t CO2e),32.771
E04004468,Oakley (Basingstoke and Deane),Housing - Biomass (t CO2e),33.525
E04004468,Oakley (Basingstoke and Deane),Housing - Coal (t CO2e),81.977
E04004468,Oakley (Basingstoke and Deane),Industrial and commercial - Electricity (t CO2e),521.2556332
E04004468,Oakley (Basingstoke and Deane),Industrial and commercial - Mains gas (t CO2e),351.3645823
E04004468,Oakley (Basingstoke and Deane),Industrial and commercial - Other Fuels (t CO2e),7489.68174
E04004468,Oakley (Basingstoke and Deane),Industrial and commercial - Large industrial consumers (t CO2e),0.100047427
E04004468,Oakley (Basingstoke and Deane),Agriculture - Fuel (t CO2e),200.6888115
E04004468,Oakley (Basingstoke and Deane),Agriculture - Livestock and crop-related emissions (t CO2e),523.1445072
E04004468,Oakley (Basingstoke and Deane),Aviation (t CO2e),3089.827105
E04004468,Oakley (Basingstoke and Deane),Shipping (t CO2e),1230.649975
E04004468,Oakley (Basingstoke and Deane),Diesel fuelled railways (t CO2e),1641.536998
E04004468,Oakley (Basingstoke and Deane),F-gases (t CO2e),175.6802617
E04004468,Oakley (Basingstoke and Deane),Road Transport (t CO2e),4607.724145
E04004468,Oakley (Basingstoke and Deane),Other Transport (t CO2e),65.81953777
E04004468,Oakley (Basingstoke and Deane),Waste management (t CO2e),119.6805988
E04004468,Oakley (Basingstoke and Deane),"Land use, land-use change, and forestry (t CO2e)",-1566.58178
